Normal,Student,Plackett,Clayton,Frank,Gumbel
-1.499969631,-1.520711018,-1.48589966,-1.533387676,-1.374354078,-1.400305562
-1.498667378,-1.557951599,-1.37230663,-1.562304439,-1.233637812,-1.435486049
-1.52954768,-1.482465994,-1.341452134,-1.482805502,-1.224176795,-1.366864092
-1.524955143,-1.37245691,-1.224358741,-1.380871695,-1.143400523,-1.109680898
-1.405588108,-1.238055737,-1.229742278,-1.43067638,-1.046253915,-1.23557137
-1.374791298,-1.447805725,-1.259554741,-1.602954682,-1.268684475,-1.316097988
-1.362440154,-1.354704371,-1.364873034,-1.428700774,-1.181247777,-1.261445211
-1.392734794,-1.293366186,-1.221659441,-1.40010736,-1.101725119,-1.242196595
-2.075469298,-1.850210278,-1.91549838,-2.16855464,-1.801869191,-1.81617175
-1.801678105,-1.739513901,-1.61100631,-1.942005632,-1.479048403,-1.646113389
-1.525090409,-1.59976964,-1.52308558,-1.704383979,-1.357202192,-1.558923708
-1.644811143,-1.676482617,-1.58862774,-1.756897713,-1.329982862,-1.524201957
-1.526963955,-1.540258039,-1.403225904,-1.684577078,-1.323604001,-1.490879174
-2.300922812,-1.966833879,-1.852810862,-2.322999786,-1.703283476,-2.04930668
-1.948428085,-2.10553235,-1.964823573,-2.168708962,-1.520722907,-1.971941448
-1.865835149,-2.059319368,-1.898488339,-2.081885066,-1.733193934,-1.883326507
-2.004553817,-2.163388737,-1.949468831,-2.108015753,-1.803536279,-1.971579542
-2.004273845,-2.089367208,-1.997480195,-2.122139364,-1.59913321,-1.916461261
-1.760468604,-1.672330397,-1.636767086,-1.891439435,-1.529391708,-1.747541154
-1.736441739,-1.798859179,-1.561262152,-1.788895387,-1.408990098,-1.569239467
-1.654928477,-1.861583436,-1.506991572,-1.642868082,-1.421282658,-1.617456518
-1.496724499,-1.565948443,-1.332935588,-1.520571557,-1.242492342,-1.318459852
-1.750535182,-1.85702565,-1.759860557,-1.953383545,-1.566197557,-1.810513517
-1.853223254,-1.684424983,-1.754825595,-1.86995857,-1.668473171,-1.787538652
-1.766040326,-1.72537326,-1.655984821,-1.779634671,-1.543843975,-1.710682232
-1.698980709,-1.797320109,-1.640919096,-1.821464394,-1.496962483,-1.693209785
-1.748447638,-1.526669593,-1.540238426,-1.870283312,-1.354406173,-1.549436942
-1.638422919,-1.669261378,-1.383949988,-1.764038447,-1.266372582,-1.529830607
-1.46859485,-1.509102153,-1.302060004,-1.411915935,-1.176440437,-1.379075438
-2.250082805,-2.127056011,-2.342169886,-2.29676168,-2.041946207,-2.290565483
-2.955953786,-2.99521252,-2.722483401,-3.048755337,-2.675912737,-2.709741222
-2.778308176,-2.809096936,-2.594460746,-2.846821575,-2.368508451,-2.899221434
-2.739684603,-2.626829546,-2.408223408,-2.691657181,-2.439146541,-2.345807806
-2.616412715,-2.401057677,-2.441915974,-2.558161245,-2.271361562,-2.494532459
-2.372464755,-2.380716344,-2.222883274,-2.409827983,-2.19605196,-2.246308372
-2.245401707,-2.266698119,-2.151995493,-2.247050362,-1.944667497,-2.094763022
-2.383786358,-2.371190479,-2.076183312,-2.609302188,-2.125481797,-2.213407482
-3.683886738,-3.745926116,-3.362743134,-3.727683249,-3.333122987,-3.460467732
-3.498504309,-3.66478793,-3.343212277,-3.812902051,-3.329081832,-3.283651215
-3.159272619,-3.228805959,-3.024072992,-3.296467277,-2.749710874,-3.042461593
-3.373396087,-3.25962258,-3.257844341,-3.372639953,-3.00270251,-3.347660102
-3.59012458,-3.46082501,-3.359669548,-3.674163023,-3.387937106,-3.560061055
-3.476908757,-3.525835984,-3.402673562,-3.448174698,-3.122053586,-3.405930679
-4.697307496,-4.646234405,-4.570176005,-4.8006875,-4.356559278,-4.518405286
-4.280980005,-4.348713247,-4.10878549,-4.327277461,-3.839618269,-4.01915472
-4.056776062,-3.953538269,-3.842441306,-4.031579915,-3.673892877,-3.93281345
-4.121191503,-4.018731501,-3.757217859,-4.105839698,-3.650320159,-3.689600192
-4.539722862,-4.36604559,-4.159586572,-4.420532821,-3.964324017,-4.216294216
-4.000191336,-4.016710758,-3.873202584,-4.461990024,-3.780452209,-4.022571627
-4.07661532,-4.099123076,-3.721799054,-3.918863859,-3.546145841,-3.936533236
-3.979455291,-3.630379341,-3.477002004,-3.908637108,-3.252368778,-3.606459167
-3.371621755,-3.548230354,-3.489313433,-3.67090051,-3.083877818,-3.618115276
-3.117674133,-3.336047054,-3.035086441,-3.408942458,-2.984073967,-3.254785904
-2.984237927,-3.100987264,-2.871634081,-3.205881063,-2.572790599,-2.881242673
-3.190262349,-2.898857776,-2.893931088,-3.032627369,-2.801744193,-2.850633742
-2.665130897,-2.759931963,-2.620425377,-2.879491498,-2.467776441,-2.733879124
-2.655780225,-2.573251338,-2.491425019,-2.751339603,-2.276573893,-2.603503566
-2.498722521,-2.474301684,-2.380454995,-2.353979875,-2.131067677,-2.28497017
-2.10830933,-2.336668026,-2.020908632,-2.40787629,-1.882423593,-2.30027342
-2.129554714,-1.886899287,-2.009585228,-2.234836929,-1.76803335,-2.056391833
-1.936147369,-2.001466705,-1.843029464,-2.073898136,-1.729261112,-1.848259856
-1.838273188,-1.793100545,-1.724294808,-1.860517517,-1.561905369,-1.802354896
-2.127518012,-1.995828517,-1.968822049,-2.11939633,-1.783321181,-2.061149139
-2.48820826,-2.60254648,-2.410359371,-2.642424474,-2.375551844,-2.364963501
-2.489435804,-2.491453217,-2.331351188,-2.542186334,-2.135665964,-2.339586928
-2.285360701,-2.215712024,-2.102876317,-2.366894477,-2.046313096,-2.103693839
-2.168395632,-2.281290951,-2.010396951,-2.323556839,-1.840906553,-1.893430487
-1.934882158,-1.916127821,-1.671469634,-2.043291675,-1.666314062,-1.934776802
-1.938409018,-1.822285129,-1.82100685,-2.089515609,-1.656982765,-1.740421458
-1.702585993,-1.762255098,-1.68484744,-1.858066613,-1.620897873,-1.692416573
-2.682228312,-2.793202294,-2.517651608,-2.699564,-2.403662264,-2.639945852
-2.631303651,-2.428104722,-2.338878223,-2.452441574,-2.23425063,-2.318786494
-2.573304451,-2.735852228,-2.338810085,-2.498487935,-2.395480084,-2.651579946
-2.774188407,-2.791353373,-2.611615524,-2.816607491,-2.465219777,-2.602457337
